title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed House with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington","365,000",5,5,lavingtonmanagement,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3830403,5 Bed House with En Suite at Lavington Green
5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington","240,000",5,5,lavingtonmanagement,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830400,5 Bed Townhouse with En Suite at Lavington Green
4 Bed House with En Suite in Lavington,Lavington,"400,000",4,6,gemac-properties,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3830399,4 Bed House with En Suite in Lavington
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands","260,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kyuna-3830398,4 Bed Townhouse with En Suite in Kyuna
5 Bed Townhouse with En Suite in Lavington,Lavington,"290,000",5,5,bethel-prime-properties,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830394,5 Bed Townhouse with En Suite in Lavington
4 Bed Townhouse with En Suite at Thika Road,"Thika road, Thika","150,000",4,4,comfort-valuers-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-thika-3830393,4 Bed Townhouse with En Suite at Thika Road
4 Bed Villa with En Suite in Ruiru,Ruiru,"150,000",4,5,mk-properties,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-ruiru-3830392,4 Bed Villa with En Suite in Ruiru
5 Bed House with En Suite in Thigiri,"Thigiri ridge Nairobi., Thigiri, Westlands","6,500",5,6,spacetech-enterprises,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-thigiri-3830353,5 Bed House with En Suite in Thigiri
5 Bed Townhouse with En Suite at Namanga Road,"Namanga rd, Namanga road, Kitengela","97,000",5,3,orlma-homes-ventures,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-kitengela-3830354,5 Bed Townhouse with En Suite at Namanga Road
4 Bed House with Staff Quarters in Runda,"Runda Nairobi, Runda, Westlands","300,000",4,3,spacetech-enterprises,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3830351,4 Bed House with Staff Quarters in Runda
4 Bed Townhouse with En Suite in Lavington,Lavington,"105,000",4,4,hodanka-homes-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3830341,4 Bed Townhouse with En Suite in Lavington
