title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed Townhouse with En Suite in Karen,Karen,"350,000",5,6,kiri-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3703870,5 Bed Townhouse with En Suite in Karen
5 Bed Townhouse with En Suite at Lavington Mall,"89, Lavington Mall, Lavington","260,000",5,5,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-2-3703742,5 Bed Townhouse with En Suite at Lavington Mall
5 Bed Townhouse with En Suite in Lavington,Lavington,"450,000",5,6,bright-homes-management,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3703591,5 Bed Townhouse with En Suite in Lavington
4 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road","180,000",4,3,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-2-3411774,4 Bed House with En Suite at Fourways Junction Estate
5 Bed House with En Suite in Runda,"Runda, Westlands","350,000",5,5,darpan-ventures,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3703310,5 Bed House with En Suite in Runda
4 Bed House with Swimming Pool in Runda,"Runda, Westlands","450,000",4,4,great-five-consultants,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3703267,4 Bed House with Swimming Pool in Runda
1 Bed House in Kilimani,Kilimani,"85,000",1,nan,coralinternational-ltd,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-kilimani-3686335,1 Bed House in Kilimani
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands","390,000",5,4,archstone-realtors,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-spring-valley-3702285,5 Bed Townhouse with En Suite in Spring Valley
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","380,000",5,5,archstone-realtors,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-kitisuru-3702199,5 Bed Townhouse with En Suite in Kitisuru
4 Bed House with En Suite in Karen,Karen,"450,000",4,4,realty-plus,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3701702,4 Bed House with En Suite in Karen
4 Bed House with En Suite in Parklands,"Parklands, Westlands","300,000",4,4,keensell-ventures,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-parklands-3701387,4 Bed House with En Suite in Parklands
5 Bed Townhouse with En Suite at Lavington,Lavington,"275,000",5,6,pam-golding-properties,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3701094,5 Bed Townhouse with En Suite at Lavington
4 Bed House with En Suite in Kiambu Road,Kiambu Road,"270,000",4,3,royani-properties-limited,https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-rent-kiambu-road-3471730,4 Bed House with En Suite in Kiambu Road
5 Bed House with En Suite in Karen,Karen,"440,000",5,7,pam-golding-properties,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3700749,5 Bed House with En Suite in Karen
5 Bed House with En Suite at Redhil Road,"87, Redhil Road, Nyari, Westlands","1,000",5,6,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-nyari-2-3694535,5 Bed House with En Suite at Redhil Road
5 Bed House with En Suite at Ruaka Road,"89, Ruaka Road, Runda, Westlands","350,000",5,5,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-2-3697480,5 Bed House with En Suite at Ruaka Road
6 Bed House with En Suite at Muthaiga Road,"g43, Muthaiga Road, Muthaiga","1,300",6,7,nairobi-royal-homes,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-muthaiga-2-3698323,6 Bed House with En Suite at Muthaiga Road
5 Bed House with En Suite at Daisy Road,"G09, Daisy Road, Runda, Westlands","350,000",5,4,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-2-3700420,5 Bed House with En Suite at Daisy Road
3 Bed Villa with En Suite in Kiambu Road,Kiambu Road,"250,000",3,3,royani-properties-limited,https://www.buyrentkenya.com/listings/furnished-3-bedroom-villa-for-rent-kiambu-road-3700541,3 Bed Villa with En Suite in Kiambu Road
3 Bed House with En Suite in Brookside,"Brookside, Westlands","200,000",3,3,keensell-ventures,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-brookside-3700495,3 Bed House with En Suite in Brookside
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands","519,772",4,4,pam-golding-properties,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lower-kabete-3699013,4 Bed House with En Suite in Lower Kabete
5 Bed Villa with En Suite at Lower Kabete,"Westlands, Lower Kabete, Spring Valley","650,000",5,5,platinum-property-management,https://www.buyrentkenya.com/listings/furnished-5-bedroom-villa-for-rent-spring-valley-1-3698108,5 Bed Villa with En Suite at Lower Kabete
4 Bed House with Gym in Runda,"Runda, Westlands","280,000",4,4,great-five-consultants,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3698048,4 Bed House with Gym in Runda
5 Bed House in Runda,"Runda, Westlands","400,000",5,5,great-five-consultants,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3697716,5 Bed House in Runda
5 Bed House with En Suite at Ruaka Road,"674, Ruaka Road, Runda, Westlands","350,000",5,5,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-2-3697532,5 Bed House with En Suite at Ruaka Road
4 Bed House with En Suite in Kileleshwa,Kileleshwa,"319,392",4,4,pam-golding-properties,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kileleshwa-3696240,4 Bed House with En Suite in Kileleshwa
